gene,log2FC,mean_tumor,mean_normal,p_value,t_statistic,rank,adj_p_value,neg_log10_p,significant,direction
MTHFD2,1.456,10.451,8.9951,1.4576163620881346e-14,12.1183,47,6.9864487410604015e-12,11.155743522977298,True,Upregulated in Tumor
ACTA2,-2.0314,10.5537,12.5851,1.4656885470756087e-14,-10.8855,48,6.9864487410604015e-12,11.155743522977298,True,Downregulated in Tumor
SYNM,-3.6443,7.6225,11.2669,1.6535252012175104e-14,-10.8495,49,7.505190931702624e-12,11.124638254849076,True,Downregulated in Tumor
SGSM2,-1.2945,8.9172,10.2118,1.6612376730892944e-14,-11.2655,50,7.505190931702624e-12,11.124638254849076,True,Downregulated in Tumor
TAGLN,-1.6403,10.693,12.3332,1.6729228038323155e-14,-10.8444,51,7.505190931702624e-12,11.124638254849076,True,Downregulated in Tumor
RND3,-1.7045,9.4144,11.1189,1.773674383093475e-14,-10.9149,52,7.80416728561129e-12,11.107673429892689,True,Downregulated in Tumor
BDH2,-1.4258,8.7126,10.1384,2.1382216557825156e-14,-10.814,53,9.230662544208294e-12,11.03476712573823,True,Downregulated in Tumor
SFRP1,-3.6433,8.6598,12.3031,2.8685825907434616e-14,-10.8742,54,1.2087901646411475e-11,10.917649082305244,True,Downregulated in Tumor
ANKRA2,-1.2913,7.4575,8.7488,2.9057455880796814e-14,-10.6709,55,1.2087901646411475e-11,10.917649082305244,True,Downregulated in Tumor
MSRA,-1.2837,6.5249,7.8086,3.1565874562795883e-14,-10.9027,56,1.2896914464228033e-11,10.889514180510462,True,Downregulated in Tumor
FAM172A,-1.2085,7.2515,8.4599,3.248106098111121e-14,-10.6629,57,1.2918280565096035e-11,10.888795287485248,True,Downregulated in Tumor
CRIM1,-1.7616,9.0858,10.8474,3.2747389544386804e-14,-10.6529,58,1.2918280565096035e-11,10.888795287485248,True,Downregulated in Tumor
PNRC2,-0.9466,10.0309,10.9775,4.00642603021284e-14,-10.6868,59,1.5502905527483443e-11,10.809586899487876,False,Not Significant
ZSCAN18,-1.7148,8.3521,10.0669,4.0654472537106927e-14,-10.7055,60,1.5502905527483443e-11,10.809586899487876,True,Downregulated in Tumor
NDRG2,-2.4242,8.7428,11.167,4.1409119690723117e-14,-10.6652,61,1.553181407415975e-11,10.80877781688016,True,Downregulated in Tumor
NBR1,-1.1627,8.8453,10.008,4.233283706774815e-14,-10.5837,62,1.562218245338835e-11,10.806258294322118,True,Downregulated in Tumor
KRT5,-3.1225,8.4969,11.6194,4.3348919152998435e-14,-10.5499,63,1.5648962949333538e-11,10.805514437689737,True,Downregulated in Tumor
TGFBR3,-3.4191,7.4036,10.8226,4.405516720735183e-14,-12.3776,64,1.5648962949333538e-11,10.805514437689737,True,Downregulated in Tumor
FAM189A2,-3.4185,5.923,9.3415,4.4943631654620046e-14,-14.2968,65,1.5648962949333538e-11,10.805514437689737,True,Downregulated in Tumor
IP6K2,-1.0274,8.2533,9.2807,4.5330874194836326e-14,-10.5387,66,1.5648962949333538e-11,10.805514437689737,True,Downregulated in Tumor
PHYHD1,-2.6037,5.4734,8.0771,4.5825197447786144e-14,-12.7154,67,1.5648962949333538e-11,10.805514437689737,True,Downregulated in Tumor
ANKMY2,-1.3898,8.0917,9.4815,5.049788053879063e-14,-10.6773,68,1.68367717879505e-11,10.773741174658056,True,Downregulated in Tumor
CXCL14,-4.087,7.6829,11.7699,5.0775229605270304e-14,-10.4997,69,1.68367717879505e-11,10.773741174658056,True,Downregulated in Tumor
FAM126A,-2.1351,7.1443,9.2794,5.543280723080222e-14,-12.4493,70,1.8118608992010782e-11,10.741875147182537,True,Downregulated in Tumor
GAS1,-2.3593,7.7676,10.1269,5.743039155921028e-14,-11.8241,71,1.8507145899644102e-11,10.73266055129612,True,Downregulated in Tumor
GLTSCR2,-1.3098,11.368,12.6778,5.860794981119419e-14,-11.7658,72,1.862430405111282e-11,10.729919946896903,True,Downregulated in Tumor
MIR205HG,-4.2092,6.5582,10.7674,6.028303358518534e-14,-10.6015,73,1.8894189156562197e-11,10.723671741078894,True,Downregulated in Tumor
IL33,-3.4079,4.3489,7.7567,6.414934274138494e-14,-11.3083,74,1.9834283269228208e-11,10.70258348855223,True,Downregulated in Tumor
SMC4,1.475,9.2314,7.7564,6.705595178846776e-14,11.4043,75,2.0450597091421103e-11,10.689294007474547,True,Upregulated in Tumor
C2orf40,-5.6103,4.8688,10.4791,6.793030502395121e-14,-11.7708,76,2.0450597091421103e-11,10.689294007474547,True,Downregulated in Tumor
ARID5B,-1.8206,8.8866,10.7072,7.050775456691477e-14,-11.3676,77,2.0950875642740387e-11,10.678797820961977,True,Downregulated in Tumor
ABHD14B,-1.656,8.3746,10.0307,7.176663609304225e-14,-11.183,78,2.1051546587292395e-11,10.676715992481357,True,Downregulated in Tumor
SCRN2,-1.9677,6.5027,8.4705,7.402891357149416e-14,-11.7102,79,2.1440272690073246e-11,10.668769695329969,True,Downregulated in Tumor
KLHL2,-1.5627,7.7963,9.3591,8.889317776473936e-14,-10.515,80,2.5423448840715453e-11,10.594765535178803,True,Downregulated in Tumor
FAM13B,-1.5452,7.5043,9.0495,9.032268423195502e-14,-10.4735,81,2.5513370558359642e-11,10.593232163177731,True,Downregulated in Tumor
EFCAB14,-1.1865,9.525,10.7115,9.81106155759457e-14,-12.314,82,2.7375254687532166e-11,10.562641831644966,True,Downregulated in Tumor
MTURN,-1.8222,6.9891,8.8113,1.0793081245337214e-13,-10.3984,83,2.975249384256813e-11,10.52647662601362,True,Downregulated in Tumor
DOCK1,-1.4823,7.5342,9.0164,1.1792158638577348e-13,-11.8784,84,3.2119594006029726e-11,10.49322995287204,True,Downregulated in Tumor
EPHX2,-1.9233,6.0374,7.9608,1.3357648774746422e-13,-10.2431,85,3.5955647525435076e-11,10.444232885628754,True,Downregulated in Tumor
PTPN21,-1.8264,6.6654,8.4918,1.837190856506717e-13,-12.8725,86,4.887782185682987e-11,10.31088815580635,True,Downregulated in Tumor
MUCL1,-4.5386,8.4811,13.0197,2.017861944204224e-13,-10.2548,87,5.306744975102603e-11,10.275171782648913,True,Downregulated in Tumor
ACVR1,-1.0802,8.1244,9.2046,2.0863795820507474e-13,-10.0804,88,5.4020293421187106e-11,10.267443061191582,True,Downregulated in Tumor
ACKR1,-5.5981,3.5782,9.1763,2.1013138612262468e-13,-10.9134,89,5.4020293421187106e-11,10.267443061191582,True,Downregulated in Tumor
YAP1,-1.5776,8.7658,10.3433,2.28555703238755e-13,-10.1341,91,5.746543395717268e-11,10.240593309321566,True,Downregulated in Tumor
SRSF6,-1.489,9.3581,10.8471,2.4337409507890063e-13,-10.2988,92,6.052607929788311e-11,10.218057457500674,True,Downregulated in Tumor
BLM,1.7957,7.1857,5.39,3.0861954561026825e-13,12.0943,93,7.592704519960148e-11,10.119603500931746,True,Upregulated in Tumor
MIR100HG,-3.655,5.2526,8.9076,3.138795146497703e-13,-10.2188,94,7.629661349270717e-11,10.11749473824525,True,Downregulated in Tumor
RGPD3,-0.9847,9.408,10.3927,3.1679100882024396e-13,-9.94,95,7.629661349270717e-11,10.11749473824525,False,Not Significant
DCTPP1,0.7538,9.8079,9.0541,3.211783273520738e-13,10.4866,96,7.654750135224425e-11,10.116068980885288,False,Not Significant
GSN,-2.3644,9.9773,12.3416,3.27515774545086e-13,-16.7246,97,7.725320537723266e-11,10.1120834918544,True,Downregulated in Tumor
SPRY2,-3.0481,5.4419,8.49,3.3741686941904917e-13,-14.2433,98,7.877650992150862e-11,10.103603263884908,True,Downregulated in Tumor
KIT,-3.778,7.3148,11.0928,3.7820162130817037e-13,-10.8725,99,8.740659692455493e-11,10.058455788191544,True,Downregulated in Tumor
WIF1,-6.2223,3.3936,9.6159,3.86285414850119e-13,-10.5856,100,8.838210291770723e-11,10.053635669274167,True,Downregulated in Tumor
PRNP,-1.4182,9.7215,11.1397,4.1104887881902544e-13,-9.9851,101,9.311681532058715e-11,10.030971885704783,True,Downregulated in Tumor
CDS2,-1.17,7.6117,8.7817,4.4950286192943813e-13,-10.0828,102,1.0082966157789749e-10,9.996411690463328,True,Downregulated in Tumor
SPATA6,-1.3975,5.9522,7.3497,4.81382830688213e-13,-10.2587,103,1.0693241908879916e-10,9.970890608197191,True,Downregulated in Tumor
IK,-0.9352,8.6198,9.555,4.965243575353775e-13,-9.796,104,1.0923535865778304e-10,9.961636761041788,False,Not Significant
NTN4,-3.3572,7.6058,10.963,5.055527580957686e-13,-9.8536,105,1.0978705814523898e-10,9.959448852120682,True,Downregulated in Tumor
PCDHGA1,-1.7532,8.431,10.1842,5.086288532952505e-13,-10.7392,106,1.0978705814523898e-10,9.959448852120682,True,Downregulated in Tumor
CACHD1,-2.1447,6.4447,8.5894,5.256510722317194e-13,-11.923,107,1.1240090217440878e-10,9.949230202932482,True,Downregulated in Tumor
PPL,-1.8703,7.7396,9.6099,5.533285873089392e-13,-10.0438,108,1.1722368590396785e-10,9.930984627071556,True,Downregulated in Tumor
PDLIM1,-1.8412,9.367,11.2082,5.866666877802274e-13,-13.2506,109,1.231461818019413e-10,9.909579049095315,True,Downregulated in Tumor
RP1-193H18.2,-2.3168,4.4593,6.7761,6.033184508238836e-13,-10.5109,110,1.254902377713678e-10,9.90139005782382,True,Downregulated in Tumor
SAT2,-1.1359,7.6808,8.8167,7.969307543914994e-13,-9.9711,111,1.6336584718456807e-10,9.786838730726393,True,Downregulated in Tumor
DIXDC1,-1.5227,6.9485,8.4712,7.996929582461374e-13,-9.8721,112,1.6336584718456807e-10,9.786838730726393,True,Downregulated in Tumor
IGF2,-4.0522,6.7945,10.8467,8.102483415133959e-13,-12.5417,113,1.6405736330819908e-10,9.785004272608901,True,Downregulated in Tumor
STIL,1.4974,6.9496,5.4522,9.009589714382952e-13,10.5092,114,1.808240461974403e-10,9.742743817021838,True,Upregulated in Tumor
SH2B1,-0.8409,7.7182,8.5591,9.237437100793597e-13,-10.2886,115,1.8378483553578915e-10,9.735690326001192,False,Not Significant
OSR1,-4.3094,3.5033,7.8127,9.659145441891354e-13,-9.5944,116,1.8948983463463556e-10,9.722414083218332,True,Downregulated in Tumor
APOD,-3.4599,9.7839,13.2438,9.689821089271137e-13,-9.9529,117,1.8948983463463556e-10,9.722414083218332,True,Downregulated in Tumor
DDB2,-1.3817,6.9792,8.3609,1.0760334062157285e-12,-10.3838,119,2.0688776751441905e-10,9.684265186753494,True,Downregulated in Tumor
CCND2,-2.0055,8.3758,10.3813,1.0911506791510585e-12,-10.2287,120,2.080460628248018e-10,9.681840498614807,True,Downregulated in Tumor
ISM1,-2.6762,5.0478,7.724,1.123825237564361e-12,-10.1792,121,2.125051358303519e-10,9.672630569445063,True,Downregulated in Tumor
ARGLU1,-1.1787,9.8698,11.0485,1.2122088165871887e-12,-9.6434,122,2.2733883379930228e-10,9.643326372175563,True,Downregulated in Tumor
PROS1,-2.5919,6.7903,9.3822,1.2717358719824862e-12,-12.9671,123,2.365635508208072e-10,9.626052169669336,True,Downregulated in Tumor
ASB3,-0.9965,7.7056,8.7021,1.2890118074321084e-12,-10.5164,124,2.378434689842471e-10,9.623708769503885,False,Not Significant
ARRDC3,-1.6501,9.3314,10.9815,1.3188601683102164e-12,-11.1403,125,2.41404165207502e-10,9.617255240820988,True,Downregulated in Tumor
CCNL2,-1.3471,9.1341,10.4812,1.3907108762613256e-12,-9.5883,126,2.525354353084058e-10,9.597677673865512,True,Downregulated in Tumor
COL17A1,-7.0726,0.6803,7.7529,1.4446429691594492e-12,-19.3189,127,2.6026323727848976e-10,9.584587172554011,True,Downregulated in Tumor
RAB2B,-1.0457,7.9585,9.0041,1.46216477919876e-12,-9.9204,128,2.6118416025333207e-10,9.583053164775079,True,Downregulated in Tumor
NPHP3,-1.7505,6.7707,8.5212,1.4725855189108318e-12,-11.6937,129,2.6118416025333207e-10,9.583053164775079,True,Downregulated in Tumor
ACTR1B,-0.6398,9.1944,9.8342,1.500887794899829e-12,-9.4632,130,2.641562519023699e-10,9.578139106216604,False,Not Significant
EIF3L,-1.1,11.243,12.343,1.6482795665459054e-12,-10.5792,131,2.878827212409948e-10,9.54078440075194,True,Downregulated in Tumor
DPYSL2,-1.4281,9.1419,10.57,1.8026650250979902e-12,-9.646,132,3.1246193768365164e-10,9.505202878354236,True,Downregulated in Tumor
GMPR2,-1.0595,8.0533,9.1128,1.858032584550082e-12,-9.5787,133,3.1963748522184866e-10,9.495342294844985,True,Downregulated in Tumor
RP4-635E18.8,-2.4477,6.3528,8.8006,1.9570261725004823e-12,-9.9072,134,3.3231736971051353e-10,9.478446958232936,True,Downregulated in Tumor
CCDC167,1.6909,8.2228,6.5319,1.9721109580144075e-12,11.5299,135,3.3231736971051353e-10,9.478446958232936,True,Upregulated in Tumor
IRX1,-4.56,4.3153,8.8752,1.9753130367408147e-12,-9.4005,136,3.3231736971051353e-10,9.478446958232936,True,Downregulated in Tumor
RNF38,-1.1208,8.0847,9.2055,2.101565216845527e-12,-10.6195,137,3.489275863355397e-10,9.457264693722731,True,Downregulated in Tumor
APOBEC3B,2.5075,7.4165,4.909,2.104545756744077e-12,9.8617,138,3.489275863355397e-10,9.457264693722731,True,Upregulated in Tumor
PLA2R1,-2.85,4.1948,7.0447,2.1569766134537962e-12,-9.3571,139,3.5504766126491265e-10,9.449713343747776,True,Downregulated in Tumor
ATG14,-1.2141,7.3476,8.5617,2.304962011703047e-12,-12.6622,140,3.7669664876975513e-10,9.42400824342104,True,Downregulated in Tumor
RNH1,-0.8435,9.9182,10.7617,2.7096941513454984e-12,-9.8842,141,4.3970072470060287e-10,9.356842818589497,False,Not Significant
EHD2,-4.3434,4.3935,8.7369,2.9350436028904147e-12,-9.2825,142,4.706800220991368e-10,9.327274234827529,True,Downregulated in Tumor
PURA,-1.0323,8.7634,9.7957,2.9417501381196053e-12,-10.0407,143,4.706800220991368e-10,9.327274234827529,True,Downregulated in Tumor
NATD1,-1.3784,5.6461,7.0244,3.081293968821575e-12,-9.5911,144,4.895833750460948e-10,9.31017333810173,True,Downregulated in Tumor
SSPN,-2.013,8.0021,10.0151,3.372022393267713e-12,-10.9369,145,5.292010451715435e-10,9.276379306752515,True,Downregulated in Tumor
LETMD1,-1.3731,7.9738,9.3468,3.376894781251982e-12,-12.1068,146,5.292010451715435e-10,9.276379306752515,True,Downregulated in Tumor
MAMDC2,-4.383,4.3591,8.7421,3.463416286474365e-12,-13.2716,147,5.390677866294794e-10,9.268356619770435,True,Downregulated in Tumor
SH3D19,-1.9127,7.8166,9.7293,3.5015416059233767e-12,-14.3232,148,5.413194050238301e-10,9.266546404197104,True,Downregulated in Tumor
ARHGEF12,-1.1181,9.1349,10.253,3.6250592879368607e-12,-10.42,149,5.566533993825194e-10,9.254415134428893,True,Downregulated in Tumor
SIKE1,1.4063,7.428,6.0217,3.836456065104505e-12,9.5876,150,5.844112987343035e-10,9.23328139621049,True,Upregulated in Tumor
PCDH17,0.9879,7.357,6.3691,3.856910232031461e-12,10.2829,151,5.844112987343035e-10,9.23328139621049,False,Not Significant
AASS,-2.1304,4.6599,6.7903,4.2329169319337946e-12,-9.1935,152,6.371653908068765e-10,9.195747821994887,True,Downregulated in Tumor
CXCL10,3.437,8.9825,5.5455,4.507268134755455e-12,9.3894,154,6.696512657350963e-10,9.174151305950273,True,Upregulated in Tumor
ABLIM3,-2.8911,5.1993,8.0904,5.41752370176164e-12,-9.1093,155,7.996964019116536e-10,9.097074858007284,True,Downregulated in Tumor
ID4,-2.6855,7.9958,10.6813,6.330085694875482e-12,-9.0336,156,9.254934496294948e-10,9.033626650708843,True,Downregulated in Tumor
PLEKHM1,-0.6778,6.6951,7.3729,6.350632499642949e-12,-9.0585,157,9.254934496294948e-10,9.033626650708843,False,Not Significant
SBF2,-1.4122,7.0542,8.4663,6.424288464021347e-12,-9.7602,158,9.303020256760026e-10,9.031376033392197,True,Downregulated in Tumor
RAI2,-2.997,4.7366,7.7336,6.65804428202343e-12,-9.2218,159,9.580883847339374e-10,9.018594424917646,True,Downregulated in Tumor
PLEKHA7,-1.1932,6.3934,7.5867,6.881911901250973e-12,-9.9503,160,9.841134018788891e-10,9.006954853832337,True,Downregulated in Tumor
TXNIP,-1.7784,10.9128,12.6912,6.955785326773845e-12,-10.326,161,9.884991818421464e-10,9.005023685805634,True,Downregulated in Tumor
CKS2,2.7242,9.6485,6.9243,8.284375566838725e-12,13.7886,162,1.1700402035140126e-09,8.931799215292887,True,Upregulated in Tumor
CAV1,-2.8343,8.4815,11.3158,8.36149513938014e-12,-10.2566,163,1.1736871704847704e-09,8.930447642642424,True,Downregulated in Tumor
GJB2,3.1014,6.6348,3.5335,8.820478981795844e-12,11.5788,164,1.2291706491902355e-09,8.910387818613273,True,Upregulated in Tumor
KIAA1456,-1.8691,5.433,7.3021,8.864211412429583e-12,-12.49,165,1.2291706491902355e-09,8.910387818613273,True,Downregulated in Tumor
ARHGEF10,-1.4466,7.1626,8.6092,9.563564344835851e-12,-8.9902,166,1.318158748252074e-09,8.880032283719075,True,Downregulated in Tumor
CBX7,-2.9815,6.4561,9.4375,1.0258773415073375e-11,-10.3128,167,1.405513387645981e-09,8.852165013341432,True,Downregulated in Tumor
PHF10,-1.1378,7.8166,8.9544,1.0438955919027855e-11,-8.8902,168,1.4216863775437935e-09,8.847196197927145,True,Downregulated in Tumor
RBPMS,-1.4388,7.7243,9.1631,1.1308320910361882e-11,-8.8714,169,1.5234389466983187e-09,8.817174945867514,True,Downregulated in Tumor
SPTAN1,-1.4461,8.3239,9.77,1.1331377437835094e-11,-9.638,170,1.5234389466983187e-09,8.817174945867514,True,Downregulated in Tumor
SNRNP70,-1.0552,10.0456,11.1009,1.1385841778208587e-11,-9.1442,171,1.5234389466983187e-09,8.817174945867514,True,Downregulated in Tumor
NR3C2,-3.0,4.5124,7.5125,1.2718723130910271e-11,-8.8467,172,1.6847458955901386e-09,8.773465592991414,True,Downregulated in Tumor
LIFR,-3.0949,5.5723,8.6672,1.2738681815432429e-11,-12.483,173,1.6847458955901386e-09,8.773465592991414,True,Downregulated in Tumor
MYL9,-2.2373,8.7358,10.9731,1.2949199454489971e-11,-9.3674,174,1.6944697512754159e-09,8.77096617953916,True,Downregulated in Tumor
CES2,-1.2046,7.6459,8.8505,1.296032370949291e-11,-11.0143,175,1.6944697512754159e-09,8.77096617953916,True,Downregulated in Tumor
SEPT10,-1.0953,9.1999,10.2951,1.3272430356072021e-11,-9.3376,176,1.7254159462893629e-09,8.7631061925312,True,Downregulated in Tumor
CNN2,-1.1612,8.5339,9.6951,1.3791572025497485e-11,-9.9027,177,1.7827749601321043e-09,8.748903474402344,True,Downregulated in Tumor
APBB3,-1.35,6.7709,8.1209,1.4513672243804348e-11,-10.1151,178,1.8655776457204688e-09,8.72918667082246,True,Downregulated in Tumor
KLHL29,-2.7924,4.4303,7.2227,1.4956906836604517e-11,-8.8033,179,1.9118102146453145e-09,8.718555222323099,True,Downregulated in Tumor
MYOF,-1.5374,8.6109,10.1483,1.5116862523414808e-11,-8.8618,180,1.921521191865171e-09,8.716354821473193,True,Downregulated in Tumor
SNRPN,-1.265,9.6683,10.9333,1.5223275876817867e-11,-8.8408,181,1.9243566412242696e-09,8.715714436995611,True,Downregulated in Tumor
MIR4746,-0.9711,8.3401,9.3112,1.6601590315459237e-11,-8.7499,182,2.076420164236716e-09,8.682684762313793,False,Not Significant
CCL28,-4.672,4.6425,9.3145,1.6607731208711498e-11,-8.7822,183,2.076420164236716e-09,8.682684762313793,True,Downregulated in Tumor
AHNAK,-1.5468,10.7255,12.2723,1.73034018371361e-11,-8.7444,184,2.1516404023569237e-09,8.66723030936327,True,Downregulated in Tumor
IGIP,-1.1994,7.1603,8.3597,1.8239720565378456e-11,-9.6666,185,2.255809765058698e-09,8.646697527680189,True,Downregulated in Tumor
MST1,-2.1989,5.9183,8.1172,1.8392003482463768e-11,-8.7752,186,2.2624141918213492e-09,8.645427883603505,True,Downregulated in Tumor
RBM5,-1.4191,9.0811,10.5002,1.8719076438617626e-11,-9.3305,187,2.290334058372039e-09,8.64010116869647,True,Downregulated in Tumor
DDX24,-0.7028,9.4352,10.138,1.901718944542433e-11,-8.8324,188,2.3144324176133443e-09,8.635555496275044,False,Not Significant
KIAA0141,-0.8949,7.6652,8.5601,1.9847524382460828e-11,-8.9674,189,2.402705597199491e-09,8.619299439909613,False,Not Significant
MPHOSPH8,-1.106,8.3406,9.4467,2.0171702434353063e-11,-10.2477,190,2.4290976405157794e-09,8.614555027852363,True,Downregulated in Tumor
DENND4C,-0.972,8.3054,9.2775,2.2635706945291094e-11,-8.6621,191,2.7115443712474357e-09,8.5667832844499,False,Not Significant
AIM2,1.2962,6.2208,4.9246,2.2884152970655612e-11,9.0201,192,2.727028229003127e-09,8.564310366408632,True,Upregulated in Tumor
ARL4A,-2.0319,7.5767,9.6086,2.4255485864232956e-11,-10.7351,193,2.875468997790933e-09,8.541291310438332,True,Downregulated in Tumor
